Row 0 is: ['G', 'A', 'PTS', 'SH', 'Shot%', 'SOG', 'SOG%', 'YC-RC', 'GW', 'PK-ATT', 'Min'] 
Row 1 is: ['08/18/2022', 'vs Detroit Mercy', '1-2', '1', '1', '3', '19', '0.053', '7', '0.368', '2-0', '0', '0-0', '990'] 
Row 2 is: ['08/21/2022', 'at South Fla.', '1-3', '1', '1', '3', '10', '0.100', '6', '0.600', '0-0', '0', '0-0', '990'] 
Row 3 is: ['08/25/2022', 'vs Southern U.', '4-1', '4', '5', '13', '34', '0.118', '17', '0.500', '0-0', '1', '0-0', '990'] 
Row 4 is: ['08/28/2022', 'at UCF', '1-3', '1', '1', '3', '9', '0.111', '4', '0.444', '1-0', '0', '0-0', '990'] 
Row 5 is: ['09/04/2022', 'vs Fla. Atlantic', '1-0', '1', '2', '4', '8', '0.125', '3', '0.375', '1-0', '1', '0-0', '990'] 
Row 6 is: ['09/08/2022', 'at Florida St.', '0-5', '0', '0', '0', '6', '0.000', '2', '0.333', '1-0', '0', '0-0', '990'] 
Row 7 is: ['09/15/2022', 'at Queens (NC)', '1-0', '1', '0', '2', '15', '0.067', '6', '0.400', '2-0', '1', '0-0', '988'] 
Row 8 is: ['09/18/2022', 'at Liberty', '0-2', '0', '0', '0', '5', '0.000', '2', '0.400', '2-0', '0', '0-0', '990'] 
Row 9 is: ['09/22/2022', 'vs North Florida', '3-1', '3', '3', '9', '12', '0.250', '6', '0.500', '1-0', '1', '0-0', '990'] 
Row 10 is: ['09/25/2022', 'vs Jacksonville', '3-0', '3', '5', '11', '33', '0.091', '14', '0.424', '0-0', '1', '0-0', '990'] 
Row 11 is: ['10/06/2022', 'at Eastern Ky.', '5-1', '5', '5', '15', '22', '0.227', '9', '0.409', '1-0', '1', '0-0', '990'] 
Row 12 is: ['10/09/2022', 'at Bellarmine', '3-0', '3', '2', '8', '16', '0.188', '8', '0.500', '1-0', '1', '1-1', '990'] 
Row 13 is: ['10/13/2022', 'vs Lipscomb', '2-1', '2', '0', '4', '16', '0.125', '6', '0.375', '2-0', '1', '0-0', '990'] 
Row 14 is: ['10/16/2022', 'vs Austin Peay', '0-0', '0', '0', '0', '25', '0.000', '7', '0.280', '0-0', '0', '0-0', '990'] 
Row 15 is: ['10/19/2022', 'at Stetson', '3-1', '3', '1', '7', '25', '0.120', '12', '0.480', '3-0', '1', '0-0', '990'] 
Row 16 is: ['10/22/2022', 'vs Central Ark.', '2-0', '2', '3', '7', '29', '0.069', '8', '0.276', '0-0', '1', '0-0', '990'] 
Row 17 is: ['10/27/2022', 'vs North Florida', '1-0', '1', '0', '2', '17', '0.059', '6', '0.353', '1-0', '1', '0-0', '990'] 
Row 18 is: ['10/30/2022', 'vs Central Ark.', '3-2', '3', '2', '8', '27', '0.111', '10', '0.370', '1-0', '1', '0-0', '1210'] 
Row 19 is: ['11/04/2022', 'at Liberty', '1-1', '1', '2', '4', '12', '0.083', '7', '0.583', '1-0', '0', '0-0', '1210'] 
Row 0 is: ['Score', 'G', 'A', 'PTS', 'SH', 'Shot%', 'SOG', 'SOG%', 'YC-RC', 'GW', 'PK-ATT', 'Min'] 
Row 1 is: ['08/19/2021', 'at Tennessee', '0-6', '0', '0', '0', '8', '0.000', '5', '0.625', '1-0', '0', '0-0', '989'] 
Row 2 is: ['08/22/2021', 'vs Tampa', '4-0', '4', '3', '11', '22', '0.182', '10', '0.455', '0-0', '1', '0-0', '990'] 
